DOID,Disease_Name,Chemical_Name,Chemical_ID,Direct_Evidence,PubMed_IDs
DOID:936,Brain Diseases,"2-(2,3-dicarboxycyclopropyl)glycine",C082313,therapeutic,7821331
DOID:1826,Epilepsy,"2-(2,3-dicarboxycyclopropyl)glycine",C082313,therapeutic,18804094
DOID:11832,Seizures,"2-(2,3-dicarboxycyclopropyl)glycine",C082313,therapeutic,7821331
DOID:11832,Seizures,2-(2-(4-(4-nitrobenzyloxy)phenyl)ethyl)isothiourea methanesulfonate,C101670,therapeutic,20888801
DOID:1168,Hyperlipidemias,"2-(2,4-dimethylphenyl)indan-1,3-dione",C057548,therapeutic,4067989
DOID:11832,Seizures,"2,2,6,6-tetramethylpiperidin-4-yl heptanoate",C501946,therapeutic,20694554
DOID:1094,Hyperkinesis,"(2-(2',6'-dimethoxy)phenoxyethylamino)methylbenzo-1,4-dioxane",C010654,therapeutic,7912614
DOID:9119,"Leukemia, Myeloid, Acute","2-(2-chloro-4-iodophenylamino)-N-cyclopropylmethoxy-3,4-difluorobenzamide",C120227,therapeutic,16467208|17077328
DOID:8692,"Leukemia, Promyelocytic, Acute","2-(2-chloro-4-iodophenylamino)-N-cyclopropylmethoxy-3,4-difluorobenzamide",C120227,therapeutic,17077328
DOID:9261,Nasopharyngeal Neoplasms,2-((((2-chloroethyl)nitrosoamino)carbonyl)amino)propanamide,C044565,therapeutic,16142332
DOID:1612,Breast Neoplasms,"2,2'-cyclohexane-1,2-diylbis(azanediyl)bis(methylene)diphenoldichloroplatinum(II)",C546571,therapeutic,19694485
DOID:11832,Seizures,2-(2'-cyclopentyl-2'-phenyl-2'-hydroxyethoxy)tropane,C094207,therapeutic,8937624
DOID:4195,Hyperglycemia,"2,2-dichloro-12-(p-chlorophenyl)-dodecanoic acid",C116893,therapeutic,9920142
DOID:9146,"Leishmaniasis, Visceral",2-(2''-dichloroacetamidobenzyl)-3-(3'-indolylquinoline),C443758,therapeutic,11751149
DOID:557,Kidney Diseases,"2,2'-dithiodiethanesulfonic acid",C027032,therapeutic,6809014
DOID:11054,Urinary Bladder Neoplasms,"2,2'-dithiodiethanesulfonic acid",C027032,therapeutic,6401591|6414697
DOID:3455,Stroke,"2,2'-(hydroxynitrosohydrazono)bis-ethanamine",C094210,therapeutic,16580782
DOID:1826,Epilepsy,2-(2-oxo-4-propylpyrrolidin-1-yl)butanamide,C482793,therapeutic,19787095
DOID:5082,Fibrosis,2-((2-piperidin-1-ylethyl)thio)quinazolin-4(3H)-one,C505456,therapeutic,16716347|18806606
DOID:326,Ischemia,2-((2-piperidin-1-ylethyl)thio)quinazolin-4(3H)-one,C505456,therapeutic,15951400
DOID:5844,Myocardial Infarction,2-((2-piperidin-1-ylethyl)thio)quinazolin-4(3H)-one,C505456,therapeutic,15951400|18806606
DOID:114,Heart Diseases,"2,3,5,4'-tetrahydroxystilbene-2-O-glucoside",C421365,therapeutic,19890356
DOID:1612,Breast Neoplasms,"2,3-bis(3'-hydroxybenzyl)butane-1,4-diol",C029498,therapeutic,17289903
DOID:1612,Breast Neoplasms,"2,3-bis(3'-hydroxybenzyl)butyrolactone",C029497,therapeutic,17289903
DOID:2043,Hepatitis B,"2',3'-dideoxy-5-fluoro-3'-thiacytidine triphosphate",C485382,therapeutic,1336341
DOID:4961,Bone Marrow Diseases,"2',3'-dideoxycytidine 5'-triphosphate",C037406,therapeutic,8846040
DOID:3021,Acute Kidney Injury,"2,3-dihydroxybenzoic acid",C009135,therapeutic,3123518
DOID:557,Kidney Diseases,"2,3-dihydroxybenzoic acid",C009135,therapeutic,17296255
DOID:3426,Vestibular Diseases,"2,3-dihydroxybenzoic acid",C009135,therapeutic,9223576
DOID:2316,Brain Ischemia,"2,3-dioxo-6-nitro-7-sulfamoylbenzo(f)quinoxaline",C062865,therapeutic,15128855
DOID:4990,Essential Tremor,"2,3-dioxo-6-nitro-7-sulfamoylbenzo(f)quinoxaline",C062865,therapeutic,19497322
DOID:1094,Hyperkinesis,"2,3-dioxo-6-nitro-7-sulfamoylbenzo(f)quinoxaline",C062865,therapeutic,8616504
DOID:9923,Motor Skills Disorders,"2,3-dioxo-6-nitro-7-sulfamoylbenzo(f)quinoxaline",C062865,therapeutic,10663390
DOID:11832,Seizures,"2,3-dioxo-6-nitro-7-sulfamoylbenzo(f)quinoxaline",C062865,therapeutic,10087439|10618468|14724045|19833150|7529182|7728525|7889291|8951966|9553992
DOID:11476,Osteoporosis,"2-(3-hydroxypropoxy)-1,25-dihydroxyvitamin D3",C061137,therapeutic,15972580
DOID:12556,"Kidney Tubular Necrosis, Acute",23-hydroxytormentic acid,C511643,therapeutic,21881242
DOID:2843,Long QT Syndrome,"2-(4-(2-(3,4-dichlorophenyl)ethyl)phenylamino)benzoic acid",C517140,therapeutic,15976038
DOID:1094,Hyperkinesis,2-(4-(2-carboxyethyl)phenethylamino)-5'-N-ethylcarboxamidoadenosine,C061282,therapeutic,15849377
DOID:11832,Seizures,2-(4-(2-carboxyethyl)phenethylamino)-5'-N-ethylcarboxamidoadenosine,C061282,therapeutic,18466897
DOID:1094,Hyperkinesis,"2-(4-(4-chlorophenyl)piperazin-1-ylmethyl)pyrazolo(1,5-a)-pyridine",C477900,therapeutic,15007532
DOID:13580,Cholestasis,"2,4,6-trihydroxyacetophenone",C107067,therapeutic,11879983
DOID:10247,Pleurisy,"2-(4-chloro-6-(2,3-dimethylphenylamino)pyrimidin-2-ylthio)octanoic acid",C548544,therapeutic,19934399
DOID:11832,Seizures,"2,4-diaminobutyric acid",C005959,therapeutic,10211593|1322322|1639237|7463050|7875556
DOID:8927,Learning Disorders,"2-(4-((dimethylamino)methyl)benzylidene)-5,6-dimethoxy-2,3-dihydroinden-1-one",C543150,therapeutic,19345205
DOID:1612,Breast Neoplasms,2-(4-hydroxyphenyl)-3-methyl-1-(4-(2-piperidin-1-yl-ethoxy)-benzyl)-1H-indol-5-ol,C439584,therapeutic,16954435
DOID:848,Arthritis,2-(4-isobutylphenyl)propionic acid 4-(diethoxyphosphoryloxy)butyl ester,C559491,therapeutic,21175575
DOID:1240,Leukemia,2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one,C085911,therapeutic,12970779
DOID:3347,Osteosarcoma,2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one,C085911,therapeutic,22326785
DOID:2394,Ovarian Neoplasms,2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one,C085911,therapeutic,16211241|16275998|17404021
DOID:11054,Urinary Bladder Neoplasms,2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one,C085911,therapeutic,17093206
DOID:576,Proteinuria,2-(4-(quinolin-2-yl-methoxy)phenyl)-2-cyclopentylacetic acid,C079315,therapeutic,12649539
DOID:2773,"Dermatitis, Contact","(2-(5-amino-2-(4-fluorophenyl)-1,6-dihydro-6-oxo-1-pyrimidinyl)-N-(1-((5-methoxycarbonyl-2-benzoxazolyl)carbonyl)-2-phenylethyl)acetamide)",C477861,therapeutic,12499574
DOID:670,Amphetamine-Related Disorders,"2,5-di-(2-phenethyl)pyrrolidine",C555559,therapeutic,20805303
DOID:9538,Multiple Myeloma,"2,5-dimethylcelecoxib",C506698,therapeutic,16123214
DOID:1936,Atherosclerosis,25-hydroxyvitamin D,C104450,therapeutic,19092644
DOID:3042,"Dermatitis, Allergic Contact","2-(6-((3-(4-(diphenylmethoxy)piperidino)propyl)amino)imidazo(1,2-b)pyridazin-2-yl)-2-methylpropionic acid",C469683,therapeutic,12438553
DOID:11832,Seizures,"2,6-diisopropyl-4-(1-hydroxy-2,2,2-trifluoroethyl)phenol",C556138,therapeutic,21081773
DOID:850,Lung Diseases,"2,6-dithiopurine",C070898,therapeutic,9585095
DOID:365,Urinary Bladder Diseases,"2,6-dithiopurine",C070898,therapeutic,9585095
DOID:1094,Hyperkinesis,"2-((8-chlorodibenzo(b,f)thiepin-10-yl)oxy)-N-methylethan-1-amine",C549913,therapeutic,20223878
DOID:1240,Leukemia,28-deoxonimbolide,C062897,therapeutic,21381696
DOID:526,HIV Infections,"(2,8-dioxabicyclo(3.3.0)oct-6-yl)-N-(4-((3,4-methylenedioxyphenyl)sulfonyl-(2-methylpropyl)amino)-3-hydroxy-1-phenylbutan-2-yl) carbamate",C522027,therapeutic,17371811
DOID:1168,Hyperlipidemias,2-(8-quinolinoxy)propionic acid,C507130,therapeutic,15818713|16037304
DOID:1612,Breast Neoplasms,2-acetamidoethanethiol,C023704,therapeutic,20058253
DOID:2044,Drug-Induced Liver Injury,2-(allylthio)pyrazine,C104935,therapeutic,9683187
DOID:2043,Hepatitis B,"2-amino-1,9-dihydro-9-(3-hydroxy-4-(hydroxymethyl)cyclopentyl)-6H-purine-6-one",C061610,therapeutic,12760870
DOID:11832,Seizures,2-amino-4-phosphonobutyric acid,C012729,therapeutic,1897004|8532155
DOID:2043,Hepatitis B,"2-amino-6-(4-methoxyphenylthio)-9-(2-(phosphonomethoxy)ethyl)purine bis(2,2,2-trifluoroethyl) ester",C461207,therapeutic,12121939|16152756
DOID:2043,"Hepatitis B, Chronic","2-amino-6-(4-methoxyphenylthio)-9-(2-(phosphonomethoxy)ethyl)purine bis(2,2,2-trifluoroethyl) ester",C461207,therapeutic,15519660
DOID:9588,Encephalitis,2-arachidonylglycerol,C094503,therapeutic,16364651
DOID:11832,Seizures,"2-benzylidene-4-phenyl-1,3-diselenole",C553968,therapeutic,20888349
DOID:1612,Breast Neoplasms,2-chloro-5-nitrobenzanilide,C457499,therapeutic,22450444
DOID:5844,Myocardial Infarction,2-chloro-N(6)-(3-iodobenzyl)-5'-N-methylcarboxamidoadenosine,C107562,therapeutic,20132822
DOID:4990,Essential Tremor,2-chloro-N(6)cyclopentyladenosine,C058394,therapeutic,15765150
DOID:11832,Seizures,2-chloro-N(6)cyclopentyladenosine,C058394,therapeutic,11311893|8246158
DOID:9538,Multiple Myeloma,"2-cyano-3,12-dioxoolean-1,9-dien-28-oic acid",C116817,therapeutic,15070698
DOID:1883,Hepatitis C,2'-deoxy-2'-fluoro-2'-C-methylcytidine,C504520,therapeutic,18285474
DOID:526,HIV Infections,2'-deoxy-3'-oxa-thiocytidine,C120719,therapeutic,7837220
DOID:1240,Leukemia,2-desamino-2-methylaminopterin,C058706,therapeutic,1313737
DOID:1168,Hyperlipidemias,2-diethylaminoethyl diallylphenylacetate,C004817,therapeutic,69995
DOID:1240,Leukemia,"(2E)-N,N-dibutyl-3-(4-hydroxy-3-methoxyphenyl)acrylamide",C518368,therapeutic,17352252
DOID:5082,Fibrosis,2-ethoxyestradiol,C532422,therapeutic,18373958
DOID:6432,"Hypertension, Pulmonary",2-ethoxyestradiol,C532422,therapeutic,18373958
DOID:1612,Breast Neoplasms,2-ethylestradiol sulfamate,C483692,therapeutic,12711013|17957467
DOID:2030,Anxiety Disorders,2-hexenal,C051750,therapeutic,21515296
DOID:526,HIV Infections,2-hydroxy-1-naphthylaldehyde isonicotinoyl hydrazone,C120275,therapeutic,17631934
DOID:557,Kidney Diseases,2-hydroxyestradiol,C001390,therapeutic,12397044
DOID:576,Proteinuria,2-hydroxyestradiol,C001390,therapeutic,12397044
DOID:8927,Learning Disorders,2-hydroxysaclofen,C057491,therapeutic,7552356
DOID:1612,Breast Neoplasms,"2-methoxy-3-O-sulfamoyl-17-cyanomethylestra-1,3,5(10)-triene",C526437,therapeutic,18026194
DOID:1094,Hyperkinesis,2-methoxy-4-amino-5-chlorobenzoic acid 2-(diethylamino)ethyl ester,C072790,therapeutic,10490917
DOID:1612,Breast Neoplasms,2-methoxyestradiol,C022830,therapeutic,15219808|18223236
DOID:5082,Fibrosis,2-methoxyestradiol,C022830,therapeutic,18373958
DOID:6432,"Hypertension, Pulmonary",2-methoxyestradiol,C022830,therapeutic,18373958
DOID:1612,Breast Neoplasms,"2-methoxyestradiol-3,17-bis-O,O-sulfamate",C500344,therapeutic,12711013|12711022|14970876|15862969|17426705|17957467
DOID:1909,Melanoma,"2-methoxyestradiol-3,17-bis-O,O-sulfamate",C500344,therapeutic,14970876
DOID:1612,Breast Neoplasms,"2-methoxyestradiol-3,17-O,O-bis(sulfamate)",C526438,therapeutic,18026194|18223236|18506995|18985042
DOID:11465,Autonomic Nervous System Diseases,2-methoxyidazoxan,C058525,therapeutic,8821553
DOID:1612,Breast Neoplasms,2-methoxyoestradiol,C530369,therapeutic,12711022
DOID:2044,Drug-Induced Liver Injury,2-methyl-3-(2-((4-nitrooxybutyloxy)carbonyl)vinyl)phenyl ursodeoxycholic acid ester,C433771,therapeutic,11226294
DOID:4195,Hyperglycemia,"2-methyl-c-5-(4-(5-methyl-2-(4-methylphenyl)-4-oxazolyl)butyl)-1,3-dioxane-r-2-carboxylic acid",C487401,therapeutic,14982965
DOID:12466,"Hyperparathyroidism, Secondary",2-methylene-19-nor-(20S)-1 alpha-hydroxy-bishomopregnacalciferol,C521167,therapeutic,17444814
DOID:4676,Uremia,2-methylene-19-nor-(20S)-1 alpha-hydroxy-bishomopregnacalciferol,C521167,therapeutic,17444814
