Disease_Name,DOID,Gene_Symbol
disease by infectious agent,DOID:0050117,AHSG
disease by infectious agent,DOID:0050117,AKT1
disease by infectious agent,DOID:0050117,ANGPT1
disease by infectious agent,DOID:0050117,ANGPT2
disease by infectious agent,DOID:0050117,ANPEP
disease by infectious agent,DOID:0050117,APCS
disease by infectious agent,DOID:0050117,BIRC5
disease by infectious agent,DOID:0050117,APOC1
disease by infectious agent,DOID:0050117,APOE
disease by infectious agent,DOID:0050117,APOH
disease by infectious agent,DOID:0050117,FAS
disease by infectious agent,DOID:0050117,FASLG
disease by infectious agent,DOID:0050117,RHOA
disease by infectious agent,DOID:0050117,ATF3
disease by infectious agent,DOID:0050117,ATM
disease by infectious agent,DOID:0050117,B2M
disease by infectious agent,DOID:0050117,BCL2
disease by infectious agent,DOID:0050117,BCL2A1
disease by infectious agent,DOID:0050117,BCL2L1
disease by infectious agent,DOID:0050117,CEACAM1
disease by infectious agent,DOID:0050117,BPI
disease by infectious agent,DOID:0050117,C1QBP
disease by infectious agent,DOID:0050117,C4A
disease by infectious agent,DOID:0050117,C4B
disease by infectious agent,DOID:0050117,CALCA
disease by infectious agent,DOID:0050117,CAMP
disease by infectious agent,DOID:0050117,CASP3
disease by infectious agent,DOID:0050117,CASP8
disease by infectious agent,DOID:0050117,CASP9
disease by infectious agent,DOID:0050117,CAV1
disease by infectious agent,DOID:0050117,CAV2
disease by infectious agent,DOID:0050117,RUNX3
disease by infectious agent,DOID:0050117,CD1D
disease by infectious agent,DOID:0050117,CD4
disease by infectious agent,DOID:0050117,CD6
disease by infectious agent,DOID:0050117,CD14
disease by infectious agent,DOID:0050117,CD80
disease by infectious agent,DOID:0050117,CD86
disease by infectious agent,DOID:0050117,TNFRSF8
disease by infectious agent,DOID:0050117,CD33
disease by infectious agent,DOID:0050117,CDKN1A
disease by infectious agent,DOID:0050117,CDKN2A
disease by infectious agent,DOID:0050117,CFTR
disease by infectious agent,DOID:0050117,CHIT1
disease by infectious agent,DOID:0050117,CCR1
disease by infectious agent,DOID:0050117,CCR5
disease by infectious agent,DOID:0050117,CRP
disease by infectious agent,DOID:0050117,MAPK14
disease by infectious agent,DOID:0050117,CSF3
disease by infectious agent,DOID:0050117,CSNK1D
disease by infectious agent,DOID:0050117,CSNK2A1
disease by infectious agent,DOID:0050117,CTBP1
disease by infectious agent,DOID:0050117,CTLA4
disease by infectious agent,DOID:0050117,CX3CR1
disease by infectious agent,DOID:0050117,CYLD
disease by infectious agent,DOID:0050117,CD55
disease by infectious agent,DOID:0050117,DAXX
disease by infectious agent,DOID:0050117,ACE
disease by infectious agent,DOID:0050117,DEFA1
disease by infectious agent,DOID:0050117,E2F1
disease by infectious agent,DOID:0050117,EDN1
disease by infectious agent,DOID:0050117,EFNB2
disease by infectious agent,DOID:0050117,EGF
disease by infectious agent,DOID:0050117,EGFR
disease by infectious agent,DOID:0050117,EIF2S1
disease by infectious agent,DOID:0050117,EIF4E
disease by infectious agent,DOID:0050117,EIF4G1
disease by infectious agent,DOID:0050117,ELANE
disease by infectious agent,DOID:0050117,EMP2
disease by infectious agent,DOID:0050117,CTTN
disease by infectious agent,DOID:0050117,EPS15
disease by infectious agent,DOID:0050117,ERBB2
disease by infectious agent,DOID:0050117,F2
disease by infectious agent,DOID:0050117,F2R
disease by infectious agent,DOID:0050117,F2RL1
disease by infectious agent,DOID:0050117,F3
disease by infectious agent,DOID:0050117,F5
disease by infectious agent,DOID:0050117,F7
disease by infectious agent,DOID:0050117,FAP
disease by infectious agent,DOID:0050117,FASN
disease by infectious agent,DOID:0050117,FCGR1A
disease by infectious agent,DOID:0050117,FCGR2A
disease by infectious agent,DOID:0050117,FGB
disease by infectious agent,DOID:0050117,FHIT
disease by infectious agent,DOID:0050117,FRA1H
disease by infectious agent,DOID:0050117,GSTP1
disease by infectious agent,DOID:0050117,HIF1A
disease by infectious agent,DOID:0050117,HLA-A
disease by infectious agent,DOID:0050117,HLA-B
disease by infectious agent,DOID:0050117,HLA-C
disease by infectious agent,DOID:0050117,HLA-DQB1
disease by infectious agent,DOID:0050117,HPR
disease by infectious agent,DOID:0050117,HRAS
disease by infectious agent,DOID:0050117,HSPA8
disease by infectious agent,DOID:0050117,HSPD1
disease by infectious agent,DOID:0050117,ICAM1
disease by infectious agent,DOID:0050117,ICAM3
disease by infectious agent,DOID:0050117,IRF8
disease by infectious agent,DOID:0050117,IDE
disease by infectious agent,DOID:0050117,IFI16
disease by infectious agent,DOID:0050117,SP110
disease by infectious agent,DOID:0050117,IFN1@
disease by infectious agent,DOID:0050117,IFNA1
disease by infectious agent,DOID:0050117,IFNA4
disease by infectious agent,DOID:0050117,IFNAR1
disease by infectious agent,DOID:0050117,IFNAR2
disease by infectious agent,DOID:0050117,IFNB1
disease by infectious agent,DOID:0050117,IFNG
disease by infectious agent,DOID:0050117,IFNGR1
disease by infectious agent,DOID:0050117,IGHG2
disease by infectious agent,DOID:0050117,RBPJ
disease by infectious agent,DOID:0050117,IL1A
disease by infectious agent,DOID:0050117,IL1B
disease by infectious agent,DOID:0050117,IL1RN
disease by infectious agent,DOID:0050117,IL2
disease by infectious agent,DOID:0050117,IL2RA
disease by infectious agent,DOID:0050117,IL4
disease by infectious agent,DOID:0050117,IL4R
disease by infectious agent,DOID:0050117,IL5
disease by infectious agent,DOID:0050117,IL6
disease by infectious agent,DOID:0050117,IL6ST
disease by infectious agent,DOID:0050117,IL7
disease by infectious agent,DOID:0050117,IL7R
disease by infectious agent,DOID:0050117,IL8
disease by infectious agent,DOID:0050117,CXCR1
disease by infectious agent,DOID:0050117,IL9
disease by infectious agent,DOID:0050117,IL10
disease by infectious agent,DOID:0050117,IL10RA
disease by infectious agent,DOID:0050117,IL11
disease by infectious agent,DOID:0050117,IL12B
disease by infectious agent,DOID:0050117,IL12RB1
disease by infectious agent,DOID:0050117,IL12RB2
disease by infectious agent,DOID:0050117,IL13
disease by infectious agent,DOID:0050117,IL17A
disease by infectious agent,DOID:0050117,IL18
disease by infectious agent,DOID:0050117,IDO1
disease by infectious agent,DOID:0050117,CXCL10
disease by infectious agent,DOID:0050117,ITGA6
disease by infectious agent,DOID:0050117,IRF1
disease by infectious agent,DOID:0050117,IRF3
disease by infectious agent,DOID:0050117,ITGA4
disease by infectious agent,DOID:0050117,ITGA5
disease by infectious agent,DOID:0050117,ITGAM
disease by infectious agent,DOID:0050117,ITGB1
disease by infectious agent,DOID:0050117,JAK1
disease by infectious agent,DOID:0050117,KIR2DL1
disease by infectious agent,DOID:0050117,KIR2DL3
disease by infectious agent,DOID:0050117,KNG1
disease by infectious agent,DOID:0050117,LAMA5
disease by infectious agent,DOID:0050117,LBP
disease by infectious agent,DOID:0050117,LDLR
disease by infectious agent,DOID:0050117,LEP
disease by infectious agent,DOID:0050117,LMAN1
disease by infectious agent,DOID:0050117,LPL
disease by infectious agent,DOID:0050117,LPO
disease by infectious agent,DOID:0050117,LTA
disease by infectious agent,DOID:0050117,LTF
disease by infectious agent,DOID:0050117,M6PR
disease by infectious agent,DOID:0050117,MBL2
disease by infectious agent,DOID:0050117,CD46
disease by infectious agent,DOID:0050117,MEFV
disease by infectious agent,DOID:0050117,MET
disease by infectious agent,DOID:0050117,MICB
disease by infectious agent,DOID:0050117,MIF
disease by infectious agent,DOID:0050117,MMP2
disease by infectious agent,DOID:0050117,MMP9
disease by infectious agent,DOID:0050117,MPO
disease by infectious agent,DOID:0050117,MRC1
disease by infectious agent,DOID:0050117,MRE11A
disease by infectious agent,DOID:0050117,ABCC1
disease by infectious agent,DOID:0050117,MSN
disease by infectious agent,DOID:0050117,MUC1
disease by infectious agent,DOID:0050117,MX1
disease by infectious agent,DOID:0050117,MYD88
disease by infectious agent,DOID:0050117,MYLK
disease by infectious agent,DOID:0050117,NOS3
disease by infectious agent,DOID:0050117,OSM
disease by infectious agent,DOID:0050117,P2RX7
disease by infectious agent,DOID:0050117,SERPINE1
disease by infectious agent,DOID:0050117,PAX2
disease by infectious agent,DOID:0050117,PCNA
disease by infectious agent,DOID:0050117,PDCD1
disease by infectious agent,DOID:0050117,PDE2A
disease by infectious agent,DOID:0050117,PIK3CG
disease by infectious agent,DOID:0050117,PKLR
disease by infectious agent,DOID:0050117,PLAT
disease by infectious agent,DOID:0050117,PLAU
disease by infectious agent,DOID:0050117,PLIN1
disease by infectious agent,DOID:0050117,PML
disease by infectious agent,DOID:0050117,POMC
disease by infectious agent,DOID:0050117,PTPN11
disease by infectious agent,DOID:0050117,PTPRC
disease by infectious agent,DOID:0050117,PTX3
disease by infectious agent,DOID:0050117,PVRL1
disease by infectious agent,DOID:0050117,PYGM
disease by infectious agent,DOID:0050117,RB1
disease by infectious agent,DOID:0050117,RDX
disease by infectious agent,DOID:0050117,RELA
disease by infectious agent,DOID:0050117,RELB
disease by infectious agent,DOID:0050117,RNASEL
disease by infectious agent,DOID:0050117,ROCK1
disease by infectious agent,DOID:0050117,S100A8
disease by infectious agent,DOID:0050117,S100B
disease by infectious agent,DOID:0050117,SAA1
disease by infectious agent,DOID:0050117,CCL2
disease by infectious agent,DOID:0050117,CCL5
disease by infectious agent,DOID:0050117,CCL11
disease by infectious agent,DOID:0050117,CCL24
disease by infectious agent,DOID:0050117,CXCL11
disease by infectious agent,DOID:0050117,CXCL5
disease by infectious agent,DOID:0050117,SDC1
disease by infectious agent,DOID:0050117,CXCL12
disease by infectious agent,DOID:0050117,SELPLG
disease by infectious agent,DOID:0050117,SFTPC
disease by infectious agent,DOID:0050117,SFTPD
disease by infectious agent,DOID:0050117,SLAMF1
disease by infectious agent,DOID:0050117,SLC4A1
disease by infectious agent,DOID:0050117,SLC11A1
disease by infectious agent,DOID:0050117,SLPI
disease by infectious agent,DOID:0050117,SMN1
disease by infectious agent,DOID:0050117,SMPD1
disease by infectious agent,DOID:0050117,SOD2
disease by infectious agent,DOID:0050117,TIA1
disease by infectious agent,DOID:0050117,TIAL1
disease by infectious agent,DOID:0050117,TIMP1
disease by infectious agent,DOID:0050117,TIMP2
disease by infectious agent,DOID:0050117,TLR1
disease by infectious agent,DOID:0050117,TLR2
disease by infectious agent,DOID:0050117,TLR3
disease by infectious agent,DOID:0050117,TLR4
disease by infectious agent,DOID:0050117,TNF
disease by infectious agent,DOID:0050117,TPMT
disease by infectious agent,DOID:0050117,TPO
disease by infectious agent,DOID:0050117,HSP90B1
disease by infectious agent,DOID:0050117,TRAF6
disease by infectious agent,DOID:0050117,UBE3A
disease by infectious agent,DOID:0050117,VEGFA
disease by infectious agent,DOID:0050117,EZR
disease by infectious agent,DOID:0050117,VIPR2
disease by infectious agent,DOID:0050117,VLDLR
disease by infectious agent,DOID:0050117,VWF
disease by infectious agent,DOID:0050117,WNT5A
disease by infectious agent,DOID:0050117,TNFRSF10A
disease by infectious agent,DOID:0050117,HDAC3
disease by infectious agent,DOID:0050117,IER3
disease by infectious agent,DOID:0050117,SGPL1
disease by infectious agent,DOID:0050117,SOCS3
disease by infectious agent,DOID:0050117,CLDN1
disease by infectious agent,DOID:0050117,IL1RL1
disease by infectious agent,DOID:0050117,PDLIM7
disease by infectious agent,DOID:0050117,CD83
disease by infectious agent,DOID:0050117,CD163
disease by infectious agent,DOID:0050117,ADIPOQ
disease by infectious agent,DOID:0050117,NTN1
disease by infectious agent,DOID:0050117,PTGES
disease by infectious agent,DOID:0050117,IKBKE
disease by infectious agent,DOID:0050117,HS3ST2
disease by infectious agent,DOID:0050117,THOC1
disease by infectious agent,DOID:0050117,NR1H3
disease by infectious agent,DOID:0050117,NAMPT
disease by infectious agent,DOID:0050117,KLRG1
disease by infectious agent,DOID:0050117,CALCOCO2
disease by infectious agent,DOID:0050117,CLEC4M
disease by infectious agent,DOID:0050117,NOD1
disease by infectious agent,DOID:0050117,BATF
disease by infectious agent,DOID:0050117,PROCR
disease by infectious agent,DOID:0050117,LILRB1
disease by infectious agent,DOID:0050117,ADAMTS13
disease by infectious agent,DOID:0050117,PRDM5
disease by infectious agent,DOID:0050117,RASSF1
disease by infectious agent,DOID:0050117,GPR182
disease by infectious agent,DOID:0050117,SIGLEC7
disease by infectious agent,DOID:0050117,GPR77
disease by infectious agent,DOID:0050117,APOBEC3C
disease by infectious agent,DOID:0050117,FLVCR1
disease by infectious agent,DOID:0050117,TBK1
disease by infectious agent,DOID:0050117,CD274
disease by infectious agent,DOID:0050117,APOM
disease by infectious agent,DOID:0050117,CCL28
disease by infectious agent,DOID:0050117,MAVS
disease by infectious agent,DOID:0050117,RPTOR
disease by infectious agent,DOID:0050117,HAMP
disease by infectious agent,DOID:0050117,IL21
disease by infectious agent,DOID:0050117,ACE2
disease by infectious agent,DOID:0050117,APOBEC3G
disease by infectious agent,DOID:0050117,NOD2
disease by infectious agent,DOID:0050117,C7orf49
disease by infectious agent,DOID:0050117,TNIP3
disease by infectious agent,DOID:0050117,PDCD1LG2
disease by infectious agent,DOID:0050117,ZBTB7C
disease by infectious agent,DOID:0050117,IL27
disease by infectious agent,DOID:0050117,RICTOR
disease by infectious agent,DOID:0050117,REXO1L1
hemophagocytic lymphohistiocytosis,DOID:0050120,CTLA4
hemophagocytic lymphohistiocytosis,DOID:0050120,GZMB
hemophagocytic lymphohistiocytosis,DOID:0050120,IL1A
hemophagocytic lymphohistiocytosis,DOID:0050120,IL16
hemophagocytic lymphohistiocytosis,DOID:0050120,LMNA
hemophagocytic lymphohistiocytosis,DOID:0050120,PRF1
hemophagocytic lymphohistiocytosis,DOID:0050120,RAB27A
hemophagocytic lymphohistiocytosis,DOID:0050120,TNF
hemophagocytic lymphohistiocytosis,DOID:0050120,STX11
hemophagocytic lymphohistiocytosis,DOID:0050120,GNLY
hemophagocytic lymphohistiocytosis,DOID:0050120,UNC13D
dengue shock syndrome,DOID:0050125,EGR2
dengue shock syndrome,DOID:0050125,MICB
dengue shock syndrome,DOID:0050125,MPZ
dengue shock syndrome,DOID:0050125,PMP22
dengue shock syndrome,DOID:0050125,CLEC5A
dengue shock syndrome,DOID:0050125,PLCE1
dengue shock syndrome,DOID:0050125,PRX
sinusitis,DOID:0050127,ALOX5
sinusitis,DOID:0050127,ALOX5AP
sinusitis,DOID:0050127,AZGP1
sinusitis,DOID:0050127,CAMP
sinusitis,DOID:0050127,CFTR
sinusitis,DOID:0050127,CLCN2
sinusitis,DOID:0050127,CLCN3
sinusitis,DOID:0050127,GJB2
sinusitis,DOID:0050127,HLA-DQB1
sinusitis,DOID:0050127,IL1A
sinusitis,DOID:0050127,IL1B
sinusitis,DOID:0050127,IL1RN
sinusitis,DOID:0050127,IL4
sinusitis,DOID:0050127,IL5
sinusitis,DOID:0050127,IL8
sinusitis,DOID:0050127,IL10
sinusitis,DOID:0050127,IL12A
sinusitis,DOID:0050127,IL12B
sinusitis,DOID:0050127,IL13
sinusitis,DOID:0050127,LTA
sinusitis,DOID:0050127,LTC4S
sinusitis,DOID:0050127,MET
sinusitis,DOID:0050127,MMP2
sinusitis,DOID:0050127,MMP8
sinusitis,DOID:0050127,MMP9
sinusitis,DOID:0050127,MUC5AC
sinusitis,DOID:0050127,MUC8
sinusitis,DOID:0050127,SERPINE1
sinusitis,DOID:0050127,SERPINA1
sinusitis,DOID:0050127,PIP
sinusitis,DOID:0050127,SFTPB
sinusitis,DOID:0050127,TAP2
sinusitis,DOID:0050127,TGFB1
sinusitis,DOID:0050127,TLR2
sinusitis,DOID:0050127,TNF
sinusitis,DOID:0050127,TNFAIP3
sinusitis,DOID:0050127,TNFAIP6
sinusitis,DOID:0050127,TP73
sinusitis,DOID:0050127,IL1RL1
sinusitis,DOID:0050127,TNFSF13B
sinusitis,DOID:0050127,CYSLTR1
sinusitis,DOID:0050127,GJB6
sinusitis,DOID:0050127,CYSLTR2
sinusitis,DOID:0050127,IL22RA1
sinusitis,DOID:0050127,PPP1R9B
sinusitis,DOID:0050127,MUC5B
sinusitis,DOID:0050127,CYSLTR1
Kartagener syndrome,DOID:0050144,DNAH5
Kartagener syndrome,DOID:0050144,DNAH11
Kartagener syndrome,DOID:0050144,DNAI1
Kartagener syndrome,DOID:0050144,CCDC40
Kartagener syndrome,DOID:0050144,DNAAF3
aspiration pneumonia,DOID:0050152,NOS2
idiopathic pulmonary fibrosis,DOID:0050156,AGT
idiopathic pulmonary fibrosis,DOID:0050156,FCGR2A
idiopathic pulmonary fibrosis,DOID:0050156,FCGR3B
idiopathic pulmonary fibrosis,DOID:0050156,CXCL10
idiopathic pulmonary fibrosis,DOID:0050156,MMP1
idiopathic pulmonary fibrosis,DOID:0050156,PLAU
idiopathic pulmonary fibrosis,DOID:0050156,PTGS2
idiopathic pulmonary fibrosis,DOID:0050156,CXCL5
idiopathic pulmonary fibrosis,DOID:0050156,SFTPC
idiopathic pulmonary fibrosis,DOID:0050156,TERC
idiopathic pulmonary fibrosis,DOID:0050156,TERT
idiopathic pulmonary fibrosis,DOID:0050156,ELMOD2
idiopathic pulmonary fibrosis,DOID:0050156,SFTPA1
idiopathic pulmonary fibrosis,DOID:0050156,MUC5B
idiopathic pulmonary fibrosis,DOID:0050156,SFTPA2
idiopathic pulmonary fibrosis,DOID:0050156,MICA
idiopathic pulmonary fibrosis,DOID:0050156,VEGF
autoimmune polyendocrine syndrome type 1,DOID:0050167,AIRE
autoimmune polyendocrine syndrome type 2,DOID:0050168,AIRE
autoimmune polyendocrine syndrome type 2,DOID:0050168,CTLA4
autoimmune polyendocrine syndrome type 2,DOID:0050168,HLA-DQA1
autoimmune polyendocrine syndrome type 2,DOID:0050168,HLA-DQB1
autoimmune polyendocrine syndrome type 2,DOID:0050168,HLA-DRB1
autoimmune polyendocrine syndrome type 2,DOID:0050168,INS
autoimmune polyendocrine syndrome type 2,DOID:0050168,TNF
autoimmune polyendocrine syndrome type 2,DOID:0050168,MICA
cutaneous lupus erythematosus,DOID:0050169,C1QA
cutaneous lupus erythematosus,DOID:0050169,FCGR2A
cutaneous lupus erythematosus,DOID:0050169,GSTP1
cutaneous lupus erythematosus,DOID:0050169,HLA-A
cutaneous lupus erythematosus,DOID:0050169,HLA-B
cutaneous lupus erythematosus,DOID:0050169,HLA-DQB1
cutaneous lupus erythematosus,DOID:0050169,HLA-DRB1
cutaneous lupus erythematosus,DOID:0050169,LMAN1
cutaneous lupus erythematosus,DOID:0050169,MBL2
cutaneous lupus erythematosus,DOID:0050169,TNF
cutaneous lupus erythematosus,DOID:0050169,TCRA
tick-borne encephalitis,DOID:0050175,CCR5
tick-borne encephalitis,DOID:0050175,OAS1
tick-borne encephalitis,DOID:0050175,OAS2
tick-borne encephalitis,DOID:0050175,OAS3
tick-borne encephalitis,DOID:0050175,TLR3
tick-borne encephalitis,DOID:0050175,OASL
Powassan encephalitis,DOID:0050179,CCR5
Powassan encephalitis,DOID:0050179,OAS1
Powassan encephalitis,DOID:0050179,OAS2
Powassan encephalitis,DOID:0050179,OAS3
Powassan encephalitis,DOID:0050179,TLR3
Powassan encephalitis,DOID:0050179,OASL
erythema multiforme,DOID:0050185,MASP2
Lambert-Eaton myasthenic syndrome,DOID:0050214,HLA-B
Lambert-Eaton myasthenic syndrome,DOID:0050214,HLA-DQA1
Lambert-Eaton myasthenic syndrome,DOID:0050214,HLA-DQB1
onychomycosis,DOID:0050275,HLA-DRB1
adenovirus infectious disease,DOID:0050298,AKT1
adenovirus infectious disease,DOID:0050298,BIRC5
adenovirus infectious disease,DOID:0050298,APOA1
adenovirus infectious disease,DOID:0050298,APOB
adenovirus infectious disease,DOID:0050298,APP
adenovirus infectious disease,DOID:0050298,FAS
adenovirus infectious disease,DOID:0050298,ATF1
adenovirus infectious disease,DOID:0050298,ATM
adenovirus infectious disease,DOID:0050298,BAX
adenovirus infectious disease,DOID:0050298,CCND1
adenovirus infectious disease,DOID:0050298,BCL2L1
adenovirus infectious disease,DOID:0050298,C1QBP
adenovirus infectious disease,DOID:0050298,CASP9
adenovirus infectious disease,DOID:0050298,CAT
adenovirus infectious disease,DOID:0050298,CAV3
adenovirus infectious disease,DOID:0050298,CD80
adenovirus infectious disease,DOID:0050298,CD86
adenovirus infectious disease,DOID:0050298,CDKN1B
adenovirus infectious disease,DOID:0050298,CDKN2A
adenovirus infectious disease,DOID:0050298,CCR5
adenovirus infectious disease,DOID:0050298,CSK
adenovirus infectious disease,DOID:0050298,CXADR
adenovirus infectious disease,DOID:0050298,EGFR
adenovirus infectious disease,DOID:0050298,EIF4E
adenovirus infectious disease,DOID:0050298,EIF4G1
adenovirus infectious disease,DOID:0050298,F10
adenovirus infectious disease,DOID:0050298,HTR4
adenovirus infectious disease,DOID:0050298,IL8
adenovirus infectious disease,DOID:0050298,IL13
adenovirus infectious disease,DOID:0050298,JAK1
adenovirus infectious disease,DOID:0050298,LTF
adenovirus infectious disease,DOID:0050298,CD46
adenovirus infectious disease,DOID:0050298,MDM2
adenovirus infectious disease,DOID:0050298,MRE11A
adenovirus infectious disease,DOID:0050298,MYC
adenovirus infectious disease,DOID:0050298,NBN
adenovirus infectious disease,DOID:0050298,PAX6
adenovirus infectious disease,DOID:0050298,POLR2A
adenovirus infectious disease,DOID:0050298,PTK2
adenovirus infectious disease,DOID:0050298,RAC1
adenovirus infectious disease,DOID:0050298,RB1
adenovirus infectious disease,DOID:0050298,RLN2
adenovirus infectious disease,DOID:0050298,SOD1
adenovirus infectious disease,DOID:0050298,U2AF1
adenovirus infectious disease,DOID:0050298,TNFRSF10A
adenovirus infectious disease,DOID:0050298,CFLAR
adenovirus infectious disease,DOID:0050298,NR1I2
adenovirus infectious disease,DOID:0050298,SOCS3
adenovirus infectious disease,DOID:0050298,MED23
adenovirus infectious disease,DOID:0050298,RAD50
adenovirus infectious disease,DOID:0050298,IL24
adenovirus infectious disease,DOID:0050298,WWP2
adenovirus infectious disease,DOID:0050298,HNRNPUL1
adenovirus infectious disease,DOID:0050298,SIN3A
adenovirus infectious disease,DOID:0050298,IL37
adenovirus infectious disease,DOID:0050298,CIAPIN1
adenovirus infectious disease,DOID:0050298,EP400
adenovirus infectious disease,DOID:0050298,SGMS1
familial abdominal aortic aneurysm,DOID:0050306,AAA1
congenital hypothyroidism,DOID:0050328,NKX2-5
congenital hypothyroidism,DOID:0050328,FOXE1
congenital hypothyroidism,DOID:0050328,SLC5A5
congenital hypothyroidism,DOID:0050328,SLC16A2
congenital hypothyroidism,DOID:0050328,NKX2-1
congenital hypothyroidism,DOID:0050328,TNF
congenital hypothyroidism,DOID:0050328,TPO
congenital hypothyroidism,DOID:0050328,TSHB
congenital hypothyroidism,DOID:0050328,TSHR
congenital hypothyroidism,DOID:0050328,TTF1
congenital hypothyroidism,DOID:0050328,PAX8
congenital hypothyroidism,DOID:0050328,TTF2
congenital hypothyroidism,DOID:0050328,DUOX2
congenital hypothyroidism,DOID:0050328,DUOXA2
mental disorder,DOID:0050329,ADRA2A
mental disorder,DOID:0050329,APOE
mental disorder,DOID:0050329,BDNF
mental disorder,DOID:0050329,CNTF
mental disorder,DOID:0050329,COMT
mental disorder,DOID:0050329,CYP1A2
mental disorder,DOID:0050329,CYP2C19
mental disorder,DOID:0050329,CYP2C9
mental disorder,DOID:0050329,CYP2D6
mental disorder,DOID:0050329,CYP3A5
mental disorder,DOID:0050329,DDC
mental disorder,DOID:0050329,DRD2
mental disorder,DOID:0050329,DRD3
mental disorder,DOID:0050329,DRD4
mental disorder,DOID:0050329,FMR1
mental disorder,DOID:0050329,GABRA2
mental disorder,DOID:0050329,GSTM1
